total_steps,avg_return,avg_len,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var,episode
178,-0.25,44.5,0.1458,0.0459,8.9989,28.839225,1.0,0.14,4
378,-0.125,47.2,0.3867,0.0007,8.9989,30.335137,1.0,-1.8999,8
