total_steps,avg_return,avg_len,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var,episode
200,0.0,50.0,0.311,0.0048,8.9223,29.697478,1.0,-1.0118,4
400,0.0,50.0,0.3247,0.0045,8.9343,29.979896,1.0,-0.4079,8
