total_steps,avg_return,avg_len,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var,episode
500,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10
1000,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20
1500,0.0,50.0,0.3243,0.0,8.9989,29.526483,1.0,-5.1127,0.0,0.0,0.0,30
